time,open,high,low,close,Volume,Volume MA
2003-04-10 21:00:00,601.0,601.0,598.5,600.25,325.0,325.0
2003-04-13 21:00:00,599.5,607.75,599.0,607.75,431.0,431.0
2003-04-14 21:00:00,607.5,610.5,607.5,610.5,200.0,200.0
2003-04-15 21:00:00,610.0,611.75,609.25,609.25,126.0,126.0
2003-04-16 21:00:00,608.25,622.25,607.0,622.25,142.0,142.0
2003-04-20 21:00:00,622.0,622.0,616.5,616.5,261.0,261.0
2003-04-21 21:00:00,616.75,619.0,611.0,611.0,635.0,635.0
2003-04-22 21:00:00,610.0,611.5,605.25,605.25,491.0,491.0
2003-04-23 21:00:00,605.0,606.5,604.25,605.0,457.0,457.0
2003-04-24 21:00:00,603.5,604.0,601.5,601.5,453.0,453.0
2003-04-27 21:00:00,603.0,608.25,603.0,608.25,238.0,238.0
2003-04-28 21:00:00,609.5,624.5,608.5,624.5,1046.0,1046.0
2003-04-29 21:00:00,624.0,627.25,621.0,627.25,459.0,459.0
2003-04-30 21:00:00,625.5,631.5,624.25,631.5,295.0,295.0
2003-05-01 21:00:00,630.25,631.0,628.5,631.0,421.0,421.0
2003-05-04 21:00:00,629.5,634.0,627.75,627.75,311.0,311.0
2003-05-05 21:00:00,627.0,629.5,623.0,629.5,649.0,649.0
2003-05-06 21:00:00,630.5,632.5,627.0,627.0,318.0,318.0
2003-05-07 21:00:00,625.5,626.5,624.5,624.5,153.0,153.0
2003-05-08 21:00:00,625.0,638.0,624.75,638.0,900.0,900.0
2003-05-11 21:00:00,636.0,642.5,635.5,642.5,406.0,406.0
2003-05-12 21:00:00,641.5,644.25,639.0,644.25,406.0,406.0
2003-05-13 21:00:00,645.0,646.0,644.25,645.5,506.0,506.0
2003-05-14 21:00:00,649.25,652.75,648.75,648.75,461.0,461.0
2003-05-15 21:00:00,648.5,648.5,642.0,642.0,1132.0,1132.0
2003-05-18 21:00:00,639.0,639.75,635.5,637.0,181.0,181.0
2003-05-19 21:00:00,636.0,642.75,635.5,642.75,419.0,419.0
2003-05-20 21:00:00,640.75,642.5,640.0,640.0,182.0,182.0
2003-05-21 21:00:00,639.5,640.0,626.75,626.75,341.0,341.0
2003-05-22 21:00:00,626.5,628.25,625.0,628.25,900.0,900.0
2003-05-26 21:00:00,628.0,630.5,622.0,630.5,171.0,171.0
2003-05-27 21:00:00,629.25,630.75,623.0,623.0,730.0,730.0
2003-05-28 21:00:00,622.5,630.0,620.25,630.0,234.0,234.0
2003-05-29 21:00:00,631.5,631.5,624.5,624.5,855.0,855.0
2003-06-01 21:00:00,620.5,622.0,612.5,612.5,445.0,445.0
2003-06-02 21:00:00,612.0,612.5,610.25,610.25,172.0,172.0
2003-06-03 21:00:00,610.25,615.25,610.25,615.25,436.0,436.0
